вид,файл,источник,id
rubus_spectabilis,c:\Users\dasha\raspberry_classifier\data\images\rubus_spectabilis\rubus_spectabilis_00001.jpg,https://static.inaturalist.org/photos/2048516/medium.jpg,1692401
rubus_spectabilis,c:\Users\dasha\raspberry_classifier\data\images\rubus_spectabilis\rubus_spectabilis_00002.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/3811758/medium.jpg,3298084
rubus_spectabilis,c:\Users\dasha\raspberry_classifier\data\images\rubus_spectabilis\rubus_spectabilis_00003.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/3848600/medium.jpg,3332831
rubus_spectabilis,c:\Users\dasha\raspberry_classifier\data\images\rubus_spectabilis\rubus_spectabilis_00004.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/3955509/medium.jpg,3415784
rubus_spectabilis,c:\Users\dasha\raspberry_classifier\data\images\rubus_spectabilis\rubus_spectabilis_00005.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/14090656/medium.jpg,10199715
rubus_spectabilis,c:\Users\dasha\raspberry_classifier\data\images\rubus_spectabilis\rubus_spectabilis_00006.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/15844394/medium.jpg,11183400
rubus_spectabilis,c:\Users\dasha\raspberry_classifier\data\images\rubus_spectabilis\rubus_spectabilis_00007.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/17973097/medium.jpg,12457880
rubus_spectabilis,c:\Users\dasha\raspberry_classifier\data\images\rubus_spectabilis\rubus_spectabilis_00008.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/18395964/medium.jpg,12705102
rubus_spectabilis,c:\Users\dasha\raspberry_classifier\data\images\rubus_spectabilis\rubus_spectabilis_00009.jpg,https://static.inaturalist.org/photos/19850165/medium.jpg,13511473
rubus_spectabilis,c:\Users\dasha\raspberry_classifier\data\images\rubus_spectabilis\rubus_spectabilis_00010.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/20938873/medium.jpg,14132356
rubus_spectabilis,c:\Users\dasha\raspberry_classifier\data\images\rubus_spectabilis\rubus_spectabilis_00011.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/23259011/medium.jpeg,15519364
rubus_spectabilis,c:\Users\dasha\raspberry_classifier\data\images\rubus_spectabilis\rubus_spectabilis_00012.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/23259409/medium.jpeg,15519812
rubus_spectabilis,c:\Users\dasha\raspberry_classifier\data\images\rubus_spectabilis\rubus_spectabilis_00013.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/32682133/medium.jpeg,21142529
rubus_spectabilis,c:\Users\dasha\raspberry_classifier\data\images\rubus_spectabilis\rubus_spectabilis_00014.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/33132769/medium.jpeg,21415713
rubus_spectabilis,c:\Users\dasha\raspberry_classifier\data\images\rubus_spectabilis\rubus_spectabilis_00015.jpg,https://static.inaturalist.org/photos/33814608/medium.jpeg,21826944
rubus_spectabilis,c:\Users\dasha\raspberry_classifier\data\images\rubus_spectabilis\rubus_spectabilis_00016.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/33882357/medium.jpg,21869922
